name,zh,en,ja,category
m-1,*咂嘴*,*Tongue clicking*,*舌打ち*,voice-source
m-2,让我康康,Let me look,みせて,meme
m-3,妈呀 么么哒,*Kiss*,ムマ,romance
m-4,做DD好快乐啊,It's so good to be a simp,単推しじゃなくてよかった,other
m-5,么么哒爱你,*Kiss* Love you,ムマ　すき！,romance
m-6,吐了,it sucks,むかついた,criticize
m-7,舰长舰长欢迎你🎵,Welcome sponser🎵,艦長よ、ようこそ🎵,out
m-8,*一种假笑*,*Fake laugh*,*そら笑い*,voice-source
m-9,我的mai呀,Oh my MAI,オーマイガー,other
m-10,*一种欢乐的笑*,*Big laugh*,*面白い笑い*,voice-source
m-11,哈喽！,Hello!,ハロー,greetandwish
m-12,两只老虎爱跳舞🎵,Tigers couple lovein' dance🎵,二頭のトラ、ダンスが好き🎵,out
m-13,*自我介绍*,*Self-intro*,自己紹介,greetandwish
m-14,*译制腔*哦我的老伙计 先凑和着听吧,*Translationese* Oh my old friend just make listen to it,*洋画風*友よ、我慢して聞こう,joking
m-15,我跟她睡过吗？,Did I sleep with her?,彼女と寝たことはあるのか？,abt-friends
m-16,小舞老师家床很大,(meme)Mai Sensei's bed is so big,舞先生の家、ベッドが大きい,abt-friends
m-17,*另一种欢乐的笑*,*Another big laugh*,*もう一種の面白い笑い*,voice-source
m-18,诶？！怎么回事？,Ah? What's wrong?,え？！どういうこと？,voice-source
m-19,爱你哦,Love you~,愛してるよ,romance
m-20,比心你们都看不到,You can't see my hand heart know,今指ハートをやっても見えないね…,other
m-21,我很喜欢！,I love it!,とってもすきだ,romance
m-22,爱你哦 么么哒,Love you~ Mua,愛してるよ　ムマ,romance
m-23,我的画很贵滴,My artwork is expensive,わたしの絵、高いよ,joking
m-24,笑死了,LOL,ワロタ,other
m-25,呃……,Ummmm,えーーーっと,voice-source
m-26,算了算了 休息一下吧,Just take a rest,もういい、もういいよ、休もう,other
m-27,哎哟喂,Wha,うわー,voice-source
m-28,*方言*快乐星球是什么,*Dialect*Where's the happy planet?,*方言*快楽惑星って何？,joking
m-29,*方言*你搞什么啊,*Dialect* What're you doing?,*方言*何やってんの,joking
m-30,我害怕鬼,I'm in fear of ghost,幽霊が怖い,out
m-31,嘶！,*Breathless*,えーーー,voice-source
m-32,哼 才不是呢,It's not what I meant,ふん、違うよ,other
m-33,哼！,*Angry*,ふん,voice-source
m-34,嘿嘿,Haha,へへ,voice-source
m-35,算了哥,That's enough bro,もういいよ、兄さん,other
m-36,你们醒着吗？,Are you guys still awake?,まだ寝てないの？,greetandwish
m-37,起床啦！,Get up!,起きて！,greetandwish
m-38,希望能够给大家带来更多的欢乐,I hope I could bring you happiness,皆さんにもっと喜びを,greetandwish
m-39,嘿嘿嘿,Hehe,へへへ,voice-source
